,Brand,Color,Age Range (Description),Special Feature,Weight Limit,Number of Wheels,Model Name,Wheel Material,Frame Material,Item Weight,Handlebar Type,Handle Height,Wheel Size,Wheel Type,Suspension Type,Grip Type,Brake Style,Warranty Type,Charging Time,Product Dimensions,null,Item Package Dimensions L x W x H,Package Weight,Brand Name,Warranty Description,Material,Suggested Users,Manufacturer,Part Number,Style,Included Components,Size,Sport Type,Price,Product Name,Product Rating,Recommended Uses For Product,Package Dimensions,Country of Origin,ASIN,Item model number,Batteries,Best Sellers Rank,Customer Reviews,Department,Number of Items,Item Dimensions LxWxH,Model Year,Team Name,Hand Orientation,Grip Size,Batteries required,Import,Skill Level,Deck Length,Deck Width,Load Capacity,Rotation Direction,Number Of Items,Bike Type,Manufacturer recommended age,Vehicle Service Type,Pattern,Mounting Type,Strap Type,Capacity,Closure Type,Handle Type,Shell Type,Power Source,Resistance Mechanism,Maximum Weight Recommendation,Maximum Height,Minimum Height,Number of Resistance Levels,Number of Pieces,Exterior Finish,Handle Material,Unit Count,Theme,Is Discontinued By Manufacturer,Release date,Maximum height recommendation,Material Type,Additional product features
150,Hurtle,Black,Kid; Adult,Foldable,264.56 Pounds,2,Hurtle,Rubber,Aluminum Alloy + ABS + PC,38.5 Grams,Adjustable,107 Centimeters,8.5 Inches,Slamm Nylon Core Wheels,Front Suspension,,Rear Braking,,6 Hours,"45.7""L x 16.5""W x 47.2""H",18 Miles,43 x 16 x 8 inches,17.96 Kilograms,Hurtle,,Aluminum,unisex-teen,SHENZHEN FUYUANDIAN POWER CO LTD,HURES18-M5,,,One Size,,351,"Hurtle Folding Electric Scooter for Adults-300W Brushless Motor Foldable Commuter Scooter w/8.5 Inch Pneumatic Tires,3 Speed Up to 19MPH,18 Miles,Disc Brake&ABS,for Adult&Kids-Hurtle HURES18-M5",3.9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Atomi,Pine Green,Adult,"Anti-Puncture Tire, Digital Display, Dual Braking System, Lightweight, Foldable",265 Pounds,2,Atomi Alpha,Rubber,Aluminum,36 Pounds,Adjustable,47.6 Inches,9 Inches,Solid,Rear Suspension,,E-ABS brake,One year,,"44.5""L x 21.9""W x 47.6""H",25 Miles,48 x 21.5 x 5.6 inches,20.21 Kilograms,Atomi,One year,Aluminum,Unisex-adult,Atomi,Atomi Alpha,"Sleek and integrated design, futuristic ambient lights, Smart App Control","Frame, Battery Pack, Motor, Combination Lock, Ambient Lights",,,599,"Atomi Alpha Electric Scooter Adults, 650W Motor Electric Scooter with 25 Miles Long Range, 19 Mph Speed, Colorful Ambient Lights, Combination Lock, Smart App, Folding Portable Adults Electric Scooter",4.0,,,,,,,,,,1,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Phantomgogo,Black,Adult,Lights,264 Pounds,2,EB08 Electric Scooter,Rubber,Aluminum,33 Pounds,,,8.5 Inches,Pneumatic,,,Rear Braking,,,,,43.5 x 22 x 6.5 inches,16.67 Kilograms,Phantomgogo,90-Day Warranty,Alloy Steel,unisex-adult,SHENZHEN LEQI INTELLIGENT TECHNOLOGY CO LTD,,,electric scooter,,,259,Electric Scooter for Adults and Kids Quick Folding IPX5 15.5 mph Max Speed 28 Miles Long-Range Battery with 350W Motor E-Scooter for Commuter (Black),& FREE Shipping,,,,,,,,,,,41 x 6.1 x 42 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,HOVERFLY,Silver,Adult,"Non Slip Deck, Wide Platform, Foldable",220 Pounds,2,F1,Rubber,Aluminum,33.2 pounds,Fixed,,8.5 Inches,Pneumatic,,,Rear Braking,Limited,4.5 Hours,"43.7""L x 17""W x 41""H",15 Miles,,,,,,,ZHE JIANG TAOTAO VEHICLES CO LTD,,,,,,299,"Hoverfly F1 Electric Scooter, 8.5"" Pneumatic Tire, Max 15 Mile & 15.5 Mph by 300w Motor, 2 Speed Gear and Safe Headlight and Taillight,Aluminum Alloy Frame & Cruise Control,Foldable Escooter for Adult",,,,China,B09H5G634Q,F1,1 Lithium Ion batteries required. (included),"#300,388 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#832 in Sport Scooters","4.2
91 ratings
4.2 out of 5 stars",Unisex-adult,,,,Electric Scooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,Grey Black,,,,,ES32,,,35 Pounds,,,,,,,,,,,,37.6 x 22.83 x 19.69 inches,15.68 Kilograms,TopMate,1 Year,Aluminum,Unisex-Adult,TopMate,ES32,Rear Axle Length：50CM,1,,,699,"TopMate ES32 Electric Scooter 3 Wheels Foldable Trike with Seat for Adults, Light Weight Mobility Scooter with Reverse Function and Key Switch, 10 Inch Pneumatic Tires Tricycle for Commute and Travel",Total price:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Razor,Matte Grey,Adult,Electric,220 Pounds,2,Razor E300S Seated Electric Scooter - Matte Gray,Polyurethane,Alloy Steel,23138 Grams,The height of the handlebars is not adjustable,1080 Millimeters,9 Inches,,Rear Suspension,"Soft, rubber",Rear Braking,90-day Warranty,12 Hours,"41""L x 17""W x 42""H",24.14 Kilometers,41.4 x 20 x 9 inches,25.54 Kilograms,Razor,No Warranty,Plastic,Unisex-adult,"Razor USA, LLC",13116214,Seated Ride (E300s),Electric Bike,41 x 17 x 42-Inch,,299,"Razor E300S Seated Electric Scooter for Kids Ages 13+ - 9"" Pneumatic Tires, Removable Seat, Up to 15 mph and 40 min of Ride Time, for Riders up to 220 lbs",4.1,,,United States,,,,,,,1,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Jetson,Buzz Lightyear,Kid,Lights,132 Pounds,2,"Jetson Disney Buzz Lightyear Kids' Electric Scooter | Weight Limit up to 132 lb, Ages 8+ | 5.3” Wheels | 60-Watt Motor |Light-Up deck | Top Speed of 7 MPH | Range of 4 Miles | Rear Foot Brake | 4 Hour Charge Time | 19.2V, 2.0AH Lithium-ion | UL Certified",,Aluminum,10 Pounds,Adjustable,,5.3 Inches,Solid,,,Rear Braking,Limited,4 Hours,,,33.4 x 13.2 x 6.3 inches,5.58 Kilograms,Jetson,1 year limited,Aluminum,unisex-teen,Jetson,JBUZZ-ELE,,Scooter,,,92,Jetson Disney Kids' Electric Scooter| 7 Miles Per Hour | 4 Miles Max Range | 60-Watt Motor |Light-Up Deck |Height-Adjustable Handlebar | Ages 8+,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,isinwheel,GT2 Off-Road Scooter,Adult,1000W Peak Power/ Fornt and Rear Dual Suspension/ Dual Braking System/ 11-inch Off-Road Pneumatic Tires/ Folding Electric Scooter,330 Pounds,2,GT2,Rubber,,50 Pounds,Adjustable,,10 Inches,10 Inches Solid Tires,Front and Rear Suspension,Ergonomic,"Front Braking, Rear Braking",Limited,5 Hours,"48""L x 24.8""W x 49""H",28 Miles,48 x 21.6 x 9.4 inches,22.68 Kilograms,isinwheel,"isinwheel Warranty At isinwheel, electric scooters come with a 365-day or 180-day warranty on different parts (like the motor and battery) warranty that is non-transferable after the product’s initial sale. isinwheel electric scooter offers a 7-day no-reason return on the condition that there is no human damage and no stains. If shipping damage occurs, please contact us support@isinwheel.com and provide us with photo or video proof. isinwheel is committed to providing quality items and service.",Aluminum,unisex-adult,"Jinhua Fenghang Technology Co.,Ltd.",,GT2 Off-Road Scooter,"1x GT2 Electric Scooter,1x Scooter bag,1x Charger,1x User Manual,1x Quick Start Guide,1x Charging cable",,,939,"isinwheel GT2 Electric Scooter Adults 11"" Off Road Tires, 1000W Motor E-Scooter Up to 28 Miles Long Range, 28 MPH Top Speed, Foldable Commuting Scooter with Dual Brakes & Suspension",4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,velCying,Titan Pro,Adult,"Lights, Wide Platform, Foldable",,2,K8,Rubber,Alloy Steel,,,,11.98 Inches,Pneumatic,"dual,dual suspension",,"Rear Braking, Front Braking",,,"49.2""L x 25.2""W x 51.6""H",65 Miles,,,velCying,180 Days Warranty,Alloy Steel,unisex-adult,"Dongguan Yabaoxun Technology Co.,Ltd",K8,"K8-12""(70Mile)",,,,"1,580","Adults Electric Scooter, velCying Titan Pro SuperScooter - Dual 2800W Motor, 50 MPH & 65 Miles, Ambient Light, Electric Scooter Adults for Commuting, 12"" Vaccum Tires, Dual Suspension",4.0,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Aovowheel,black-003,Adult,"Drum brake, Front and rear shock absorbers, Intelligent controller",265 Pounds,2,ES7-01,Rubber,,35 Pounds,Fixed handle,47 Inches,8.5 Inches,Solid tyre,Dual Suspension,,Drum brake,180 days for different parts replacement,5 Hours,,19 Miles,43.5 x 22.5 x 6.75 inches,18.05 Kilograms,Aovowheel,one year warranty,Aluminum,mens,Aovowheel,,,scooter,,,369,"Aovowheel Electric Scooter - 8.5"" Solid Tires, Quadruple Shock Absorption, Up to 19 Miles Long-Range, 19 Mph Top Speed, Portable Folding Commuting Scooter for Adults, Double Braking System and App",4.2,,,,,,,,,,1,41 x 5.8 x 47 inches,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Gotrax,Gray,Youth,Foldable,176 Pounds,2,Gotrax Vibe Electric Kick Scooter 6 5 ' Foldable Commuting For Kids 8 15 12 Mph 7 Miles Range E,Rubber,Aluminum,20.9 Pounds,Fixed,3 Feet,6.5 Inches,Solid,,Ergonomic,Anti-locking electronic brake,Limited,4.5 Hours,"11.4""L x 8.6""W x 35.4""H",7 Miles,35.5 x 11.4 x 9.2 inches,11.48 Kilograms,Gotrax,365 Days Limited Warrranty,Aluminum,Unisex-teen,"ZHEJIANG TAOTAO VEHICLES CO., LTD",VIBE,Electric scooters,"Scooter, Charger, User manual",,"Travel, Cycling, Commuting",249,"Gotrax Vibe Electric Kick Scooter, 6.5"" Foldable Commuting Scooter for Kids 9-15, 12 MPH & 7 Miles Range E Kick Scooters for Kids, Teens, Boys and Girls",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Hurtle,Blue,Adult,"App Control, Foldable",330.69 Pounds,2,HURES72,Rubber,Aluminum,24.95 Kilograms,Adjustable,51 Centimeters,10 Inches,Puncture-proof Solid Tire,Front and rear dual suspensions,Ergonomic,Rear Braking,,6 Hours,,25 Miles,47 x 22 x 8 inches,24.95 Kilograms,Hurtle,,High Strength Aluminum Alloy,unisex-teen,Sound Around,HURES72,,"Wrench, M5 Screws, Wall Charger, Charging Cable, Folding Electric Scooter",LWH: 1168x176x1167mm (Unfold),,599,"Hurtle Folding Electric Scooter - 10” Honeycomb Tires, 25 Miles Range, 19 MPH Max Speed, 500W 36V Brushless Motor Escooter with App Control, E-ABS Front Drum & Rear Disc Brakes, E-Scooter for Adult",4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Arwibon,Black,Adult,"Digital Display, Dual Braking System, Speedometer, Adjustable Handlebar Height, Foldable",440 Pounds,2,Q30Pro,Rubber,,77 Pounds,Adjustable,,11 Inches,Pneumatic,Dual Suspension,Ergonomic,"Front Braking, Rear Braking",,8 Hours,"51""L x 26""W x 51""H",30 Miles,50 x 20 x 11 inches,77 Pounds,Arwibon,180 Days Warranty,"Alloy Steel, Aluminum, Stainless Steel",Unisex-adult,"Shenzhen lvdaoxing Technology Co., Ltd.",Q30Pro,Q30Pro,"Lock 1ea, Charger, Charger 1ea",Large,,"1,069","Arwibon Q30Pro Electric Scooter for Adults - 2500W Motor,52V/18AH Battery,Up to 38 MPH Range 30 Miles,440 Lbs 11"" Heavy Duty Vacuum Off-Road Tire,Iscooter,Escooter",4.0,"Off Road, Stunts, Commuting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Isinwheel,Black,,800W Brushless Motor/ Fornt and Rear Dual Suspension/ Dual Braking System/ 11-inch Off-Road Pneumatic Tires/ Folding Electric Scooter,330 Pounds,2,GT2,Rubber,,50 Pounds,,,11 Inches,11'' Pneumatic Tires,Dual Suspension,,Front and rear disc brake + EABS electronic brake,,,,,48 x 21.6 x 9.4 inches,50 Pounds,Isinwheel,"isinwheel Warranty At isinwheel , the electric scooters come with a One-year for E-scooter or 180-day for different parts (like the motor and battery) warranty that is non-transferable after the product’s initial sale. isinwheel electric scooter offers a 7-day no-reason return on the condition that there is no human damage and no stains. If shipping damage occurs, please contact us support@isinwheel.com and provide us with photo or video proof. isinwheel is committed to providing quality items and service.",Aluminum,Unisex-adult,"Jinhua Fenghang Technology Co.,Ltd.",,,"Electric scooter, Scooter Bag, Toolkit, Charger",,,799,"isinwheel GT2 Electric Scooter, 11"" Off Road Tires, 800W Motor E-Scooter Up to 28 Miles Long-Range, 28MPH Top Speed, Folding Commuting Scooter for Adults with Double Braking System",Total price:,,,,,,,,,,,48 x 24.8 x 49 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,MAXTRA,Black,Youth,"Adjustable Handlebar Height, Foldable",45 Pounds,2,ML-44GDRS-ES-E100,Polyurethane,Alloy Steel,21 Pounds,Adjustable,33 Inches,6 Inches,Solid,No,Ergonomic,Rear Braking,Limited,6 Hours,,,33 x 14 x 8.5 inches,21 Pounds,MAXTRA,1 year,Alloy Steel,Unisex,"Foshan Renshan Intelligent Medical Devices Co.,Ltd",ML-44GDRS-ES-E100,,Charger,,Scooter,129,"MAXTRA Folding Electric Scooter, Adjustable Handlebar Height for Kids Ages 6-12, up to 10mph ＆ 60 Long Battery Life",4.1,,,,,,,,,,,34 x 8 x 38 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Viro Rides,Multicolor,Youth,Lights,120 Pounds,2,VIRO Rides VR 550E Rechargeable Electric Scooter - Ride On UL 2272 Certified,Polyurethane,,29 Pounds,,36 Inches,,Polyurethane,Front Suspension,,"Rear Braking, Front Braking",,,"17.2""L x 9""W x 36.2""H",6 Miles,36.46 x 17.5 x 9 inches,15.29 Kilograms,Viro Rides,No Warranty,Aluminum,boys,MGA Entertainment,648069,,"ride ons, electric scooter",,,139,"VIRO Rides VR 550E Rechargeable Electric Scooter With Lights - Ride On UL 2272 Certified, Multicolor",4.1,,,,,,,,,,1,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Jetson,Black,Adult,Foldable,200 Pounds,2,JKNGH1-BLK,Rubber,,28 Pounds,Adjustable,42.3 Inches,,Pneumatic,Dual Suspension,,Rear Braking,,3 Hours,,16 Miles,45.1 x 20.4 x 7.25 inches,16.38 Kilograms,Jetson,See Manufacturer Website,Aluminum,Unisex-adult,Jetson Electric Bike,,Knight Single Battery,Electric Scooter,One Size,,337,"Jetson Knight Adult Electric Scooter, LCD Display, Removeable Rechargeable Battery, Thumb Throttle, Easy-Folding Mechanism, Up To 20 MPH, Range of up to 16 Miles, Ages 12+, Black, JKNGH1-BLK",3.9,,,,,,,,,,,45.4 x 20.2 x 7.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Jetson,Black,kids,Foldable,200 Pounds,2,Highline,Rubber,,14 Pounds,Adjustable,37.4 Inches,,Pneumatic,,,Rear Braking,,5 Hours,,3 Miles,31 x 12.4 x 7 inches,7.48 Kilograms,Jetson,See Manufacturer Website,Aluminum,unisex-adult,Jetson,,,Electric Scooter,One Size,,199,"Jetson Omega Electric Scooter, Up to 10 MPH, Range Up to 5 Miles, 150-Watt Motor, Foldable, 3 Speed Mode, Light-Up Deck, Ages 8+, Black, JOMEGA-BLK",3.7,,,,,,,,,,,30.7 x 11.6 x 6.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,VOLPAM,Black/PINK/Orange,Big Kid,Lights,132 Pounds,2,SR05/SR11,Rubber,,,,,6.5 Inches,Solid,Front Suspension,,Front Braking,,3 Hours,"29.9""L x 12.5""W x 7.5""H",5 Miles,29.9 x 12.5 x 7.5 inches,9.19 Kilograms,VOLPAM,1 year warranty,Aluminum,unisex-teen,"Yongkang Moxi Technology Co.,Ltd",,SR05-BLACK,"Electric Scooter for Kids, User manual",,,189,"VOLPAM SR05 Electric Scooter for Kids Age of 6-12, Brushless Motor with Colorful Rainbow Lights",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Mongoose,Blue/Grey,Kid,"This fun-to-ride, Mongoose React E1 Electric Scooter is perfect for young kids to ride around the neighborhood and is designed for riders ages 8 and up, with a maximum weight limit of 120 pounds.",120 Pounds,2,React E1,Polyurethane,Aluminum,21.9 Pounds,Adjustable,34.25 Inches,145 Millimeters,Solid,,,Rear Braking,,5 Hours,,,30.4 x 13.8 x 8 inches,10.55 Kilograms,Mongoose,"Frames are guaranteed against manufacturing defects for a period of 1 year, All other parts of the unit except Normal Wear Parts are warranted against defective materials and workmanship for a period of 1 year, 6 months for battery, from the date of purchase by the initial consumer purchaser",Aluminum,unisex-teen,"Tianjin Fuji-Ta Bicycle Industrial Co., Ltd.",R6006AZ,E1,"Wall Charger, Mongoose React Electric Scooter",One Size,"Skateboarding, Outdoor Lifestyle",145,"Mongoose React Electric Kids Scooter, Boys & Girls Ages 8+, Max Speed 6-15 MPH, Aluminum Handlebars and Frame, Rear Foot Brake, Battery and Charger Included",3.8,,,,,,,,,,1,30.31 x 7.87 x 13.19 inches,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Bogist,Red,,Electric scooter with storage bag and phone holder,,,C1,,,50 Pounds,,,,,,,,,,"45""L x 19""W",,47.2 x 20.25 x 10.4 inches,27.67 Kilograms,Bogist,1 year manufacturer,Aluminum,Unisex-adult,"Yongkang Kede Intelligent Technology Co.,Ltd",,,"User Manual, Charger, Storage bag, Phone holder",,,"9,999",Electric Scooters Adults Folding E Scooters Adult Electric Scooter with 10 inches Pneumatic Tires - C1,& FREE Shipping,,,,,,,,,,1,45 x 19 x 45 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Aluminum,Aluminum,1.0 Count,,,,,,
171,tifgalop,Black,Adult,"forged body, road tires, Easy to carry",380 Pounds,2,X10,Alloy Steel,Alloy Steel,33 Kilograms,Fixed,,10 Inches,Pneumatic,Dual Suspension,Ergonomic,"Front Braking, Rear Braking",Limited,8 Hours,,90 Kilometers,52 x 20 x 10 inches,36.74 Kilograms,tifgalop,90~180 days,Alloy Steel,unisex-adult,"Dongguan luxiangte Vehicle Industry Co., Ltd.",,Sport Scooters,"Multifunctional tool*1, X10 scooter*1, Product manual*1, Charger*2, Key*2",,,899,TIFGALOP Adult Electric Scooter Motor Power 1600W Maximum Speed 33 MPH Range 80~90KM，10 inch tubeless Off-Road Tires Convenient Folding Sports Scooter,3.8,,,,,,,,,,,50 x 9 x 50 inches,,TIFGALOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Gotrax,Black,Youth,Lights,110 Pounds,2,Scout,Polyurethane,Aluminum,9.7 Pounds,Adjustable,29.5 Inches,5 Inches,Solid,Front Suspension,,Rear Braking,Limited,4.5 Hours,"24.8""L x 15.5""W x 29.5""H",3 Miles,24.5 x 13.5 x 6.75 inches,4.85 Kilograms,Gotrax,180days warranty,Aluminum,Boys,"ZHEJIANG TAOTAO VEHICLES CO., LTD",,Kick scooter,Charger,,Skateboarding,80,"Gotrax Scout Electric Scooter for Kids Ages 4-7, Max 3 Miles Range and 6Mph Speed, 5"" Flash Front Wheel and Unique Pedal Light, Ul2272 Certified Aprroved Electric Kick Scooter for Boys Girls",4.4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,SKRT,,Adult,"Portable, Lights, Foldable",220 Pounds,2,,Rubber,,52 Pounds,Foldable,,10 Inches,Solid,Front Suspension,,"Front Braking, Rear Braking",,6 Hours,,18.6 Miles,43 x 24 x 12 inches,23.59 Kilograms,SKRT,,,Unisex-adult,,SKR-TL350A,,,,,349,"Electric Scooter Commuter Scooter 350W 48V 18.6 Miles ,Solid Rubber Tire, Long-Range Battery Foldable Easy Carry Portable Design, Adult Electric Scooter Up to 18MPH (Black)",& FREE Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,HYKAS,Black,Adult,Wheeled,330 Pounds,2,iE-M4 PRO,Alloy Steel,Alloy Steel,58 Pounds,Adjustable,,10 Inches,Pneumatic,Dual Suspension,Ergonomic,"Front Braking, Rear Braking",,8 Hours,,25 Miles,,,HYKAS,1 year manufacturer,Aluminum,,"Shenzhen Tianshengle Robot Co., Ltd.",,Sport,"e scooter, charger, seat, pedal handle, install tools, user manual",,,539,"iENYRID Electric Scooter for Adults, E Scooter with Detachable Seat, 600W Motor(800w Peak Power), 28Mph Top Speed 31Miles Max Range, 10"" Pneumatic Off-Road Tire, Adjustable Handlebar Height, Foldable",,,,,,,,,,,,45.3 x 8.7 x 47.3 inches,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,MEGAWHEELS,Black,Adult,"Foldable & Portable, APP Support, Ambient side lights, 9"" Pneumatic Tires, Light Sensitive Headlight",220 Pounds,2,A6 Electric Scooter Black,Rubber,,18.42 Kilograms,Adjustable,,9 Inches,Pneumatic,Dual Suspension,,Drum brake + Electronic brake,Limited,4 Hours,,15.5 Miles,45.4 x 20.5 x 7.5 inches,18.42 Kilograms,MEGAWHEELS,Limited Warranty,Alloy Steel,"Unisex-Youth, Unisex-Adults",Shenzhen Leqi Intelligent Technology Co Ltd,A6,A6-Black,Electric Scooter,,Riding,399,"Electric Kick Scooter, 9 inch Pneumatic Tubeless Tires, Max Speed 15.5MPH, Max 15.5 Miles，Foldable Electric Scooter for Adults",4.4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Fieabor,Black,Adult,"Lights, Foldable",440 Pounds,2,Q30,Rubber,,37 Kilograms,Adjustable,1480 Millimeters,11 Inches,Pneumatic,Dual Suspension,,,Limited,7 Hours,"48.43""L x 2.4""W x 58.27""H",30 Miles,50 x 20 x 11 inches,77 Pounds,Fieabor,,Alloy Steel,unisex-adult,"Shenzhenshi Lvdaoxing Technology Co., Ltd",Q30,Q30,,Q12,Cycling,949,"Fieabor Electric Kick Scooter for Adults - 2500W Motor, 30 MPH/30 Miles/48V/16AH(Q30), 11"" Heavy Duty Vacuum Off-Road Tire",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,JANSNO,Gold,Adult,"Portable, Non Slip Deck, Lights",330 Pounds,2,GT88,Rubber,Carbon Steel,40 Kilograms,Adjustable,,10 Inches,Solid,Dual Suspension,,Mechanical disc brake,,6 Hours,,60 Miles,,,JANSNO,3 months - 1 year warranty for different parts,Alloy Steel,Unisex-adult,LEOOUT,,,"Instruction manual, Toolkit, Charger",,,998,"LEOOUT Electric Scooter 2800w Motor, 60 Miles Long Range & 40 MPH Speed, Upgraded 52V 25AH Battery, 10'' Heavy Duty Off-Road Tire, Electric Scooter for Adults",3.5,,,,,,,,,,,45.67 x 24.41 x 47.24 inches,,LEOOUT Electric Scooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,populo,black,Adult,"Portable, Foldable",36.45 Pounds,2,PES350B,Rubber,Aluminum,28.3 Pounds,Adjustable,,8.5 Inches,350W wheels,,,"Front Braking, Rear Braking",,4 Hours,,14.5 Miles,45 x 21 x 8 inches,16.4 Kilograms,populo,"Corrosion on electrical components is not covered by the Populo warranty. You should dry the contacts on the battery to prevent corrosion and oxidizing. Electrical contact cleaner can be used to keep that connection clean if needed. In extreme weather (for example, in a community where roads are salted in winter) you can apply battery terminal grease as a preventative., It is expressly agreed that this warranty applies only to the cost of repair or replacement of the product and its accessories and the seller is not liable for any financial loss and / or prevention of profit and / or any consequential loss that may be caused by non-standard usage of the product. We hereby inform the buyer that Populo Bikes is not responsible for any liability that may occur which could possibly apply to the product and / or its user due to the usage of the product and that the customer alone is solely responsible for third party insurance and / or other insurance as required by the nature of the particular product. The seller is not responsible for any possible damage including bodily harm and damage to property. The warranty does not apply if any part of the product is damaged as a result of negligence, an accident, or inadequate maintenance., If a defective part is found during the warranty period and the customer notifies us immediately, the seller will repair or replace the part based on his sole discretion. This warranty will be void if any repair or change is performed by any third party aside from an authorized dealer or service center., As mentioned above this warranty does not apply to the tire, spokes, brakes, rims, and other mechanical components of the bicycle., Populo Bikes warrants that all new Populo electric bicycles and main components therein sold by an authorized Populo Bikes retailer are warranted to the original retail purchaser against manufacturing defects in materials and/or workmanship for all electrical components for a period of one (1) year from the date of original retail purchase. There is also a limited lifetime warranty on the frame., This warranty pertains to any of the essential electric bicycle components that are found defective provided that the product was used in a standard and controlled manner, and that it was maintained according to the manufacturer’s instructions manual. Essential components include the bicycle frame, electric motor, battery, display console and controller.",Aluminum,unisex-adult,"Shenzhen Elite Electronic Co., Ltd.",HY-TMZ-S1003US-JD,350w,"Installation tools, scooter",,,320,Folding Electric Scooter for Adults with Double Braking System - 8.5” Pneumatic Tires - Up to 14.5 Miles & 15 MPH Portable Folding Commuting Electric Scooter……,4.0,,,,,,,,,,,45 x 21 x 8 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,MASXODRK,Without seat,,Foldable,440 Pounds,2,Q06Pro,Alloy Steel,Alloy Steel,48 Kilograms,,,11 Inches,Pneumatic,Dual Suspension,,Dual brake,,,,,,,MASXODRK,1 Year,Aluminum,unisex-adult,"Shenzhen lvdaoxing Technology Co. , Ltd",,,"Electric scooter, Manual, Charger",,,"1,099","5600W Electric Scooter for Adults Up to 45±5MPH,27AH Battery with 52 Miles Travel Range, Folding 11"" Vacuum Off Road Tire E Scooter with Seat",5.0,,,,,,,,,,,53.54 x 14.17 x 50.39 inches,,Q06 ELECTRIC SCOOTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,AVPLUS,Black,Adult,"Portable, Foldable",220 Pounds,2,S50,Rubber,,31 Pounds,,,10 Inches,Solid,Dual Suspension,,Front eABS +Rear Disc braking,,,,,42 x 20 x 5.9 inches,32 Pounds,AVPLUS,"30 days unconditional return, refund and exchange, 180days limited exchange, return.",Aluminum,Unisex-adult,"Shenzhen Grandpower New Energy Development Co.,Ltd",S50,,Electric scooter,,,179,"Electric Scooter Upgraded 350W Motor 8.5"" Solid Tires Up to 17 Miles Long Range for Adults - 19 Mph Max Speed,Smart APP,Dual Brake System,Foldable Commuter E Scooter",4.9,,,,,,,,,,,5 x 40 x 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
